appid,name,price,positive_ratings,negative_ratings,total_ratings
1011860,答题英雄——细胞生物学,0.79,3,0,3
1011960,Arena of Shaelo,0.00,3,0,3
1011970,三国佣兵传奇,4.79,37,14,51
1011990,Dies irae ~Interview with Kaziklu Bey~,15.49,18,0,18
10120,Aces of the Galaxy™,6.99,14,16,30
1012180,在线教育开发实习生 Elearning Development Intern,1.69,9,0,9
1012240,旅燕归航 Swallow Homing,0.00,140,2,142
1012280,Beekyr,1.69,1,0,1
1012390,Fruit Lockers Reborn! 2,3.99,4,1,5
1012460,Through Abandoned: The Refuge,2.09,11,1,12
1012490,Time to Fight,2.89,2,0,2
1012530,Soccering,0.79,1,0,1
1012600,Why Chicken? Why?,3.99,1,0,1
1012710,Endzeit,7.19,0,1,1
1012720,Pix Tower,0.79,6,0,6
1012730,九劫曲:诅咒之地 NineTrials Test Server,0.00,79,31,110
1012800,WhiTaers: Gongren Edition,0.79,20,1,21
1012820,Voxel Drivers,0.79,12,8,20
1012830,Poor Stickman,0.79,20,3,23
1012860,Data mining 5,0.79,1,0,1
1012940,Seance: The Unquiet (Demo 2),0.00,11,0,11
1013070,Estellium Legends,3.99,5,4,9
10130,TimeShift™,9.99,623,159,782
1013120,HotPuzzle:Video,0.79,4,1,5
1013130,Happy Anime Puzzle,0.79,13,4,17
1013160,Sky Reaper,2.09,0,4,4
1013180,Funbag Fantasy,31.99,21,0,21
1013190,Retro Vision,2.89,15,0,15
1013280,RagTag,7.99,17,0,17
1013350,The Voice from Heaven,4.79,3,0,3
1013360,Feditor,0.00,13,4,17
1013400,FanaticBlader,5.79,0,1,1
1013410,REDVIIL,4.79,22,13,35
1013520,Hidden Magic,1.69,6,0,6
1013540,Evospace,6.19,51,7,58
1013580,Manna for our Malices,3.99,7,1,8
1013600,Rodent Warriors,7.19,3,0,3
1013630,Frigus İnferos,0.79,3,1,4
1013650,Tiny Dangerous Dungeons,3.99,19,1,20
1013660,Pursuer,10.99,6,4,10
1013700,Draft Day Sports: College Football 2019,23.79,1,1,2
1013710,Draft Day Sports: College Basketball 2019,27.79,3,1,4
1013730,Hard Core Puzzle,0.79,137,7,144
1013870,Leanna's Slice of Life,11.39,147,28,175
1013890,青蛙跳模拟器,0.79,42,19,61
1013940,Bob and Kuura: Lost in Snowglobe,4.79,0,1,1
1013950,AntiPodal,1.69,5,0,5
1014020,Successor of the Moon,1.69,44,10,54
10140,3D Ultra™ Minigolf Adventures,6.99,50,28,78
1014100,Shivering Sky,4.79,15,2,17
1014130,Jitsumi's Game Booster,3.99,19,1,20
1014140,Snakebird Primer,5.79,32,1,33
1014180,化者天狱 Revenant in the Paradise,2.89,2,0,2
1014270,Plaguepunk Justice,6.99,3,0,3
1014280,The Devil's Calculator,2.09,15,0,15
1014310,Top Torch,2.09,1,0,1
1014350,Once A Stray,0.00,4,0,4
1014360,冒险村的商人日记/Businessman's Diary of Dungeon Village,2.89,31,4,35
1014370,Bouncing DVD : The Game,0.00,83,18,101
1014420,Blind Date,5.19,11,0,11
1014430,Nin! Nin! Ninja!!!,1.99,11,0,11
1014440,Mola mola: Vivienne,0.79,271,21,292
1014450,Spacelair,1.99,1,1,2
1014460,Nothing!,0.79,6,6,12
1014470,Fates 8 Stories (F8S),5.79,7,1,8
1014480,Ecchi Girls,0.79,47,17,64
1014550,One Synth,0.00,19,0,19
1014560,Creepy Vision,3.99,16,2,18
1014570,AlienAfterlife,2.09,9,0,9
1014590,Time To Parkour,0.79,9,5,14
1014600,Crash Landed,2.09,4,1,5
1014620,Rollman,0.79,1,2,3
1014660,Baby Bee,2.89,1,0,1
1014710,sCATter,15.49,11,5,16
1014730,Cyndy,2.99,16,6,22
1014740,Destroy_the_devil,11.39,2,4,6
1014820,The Angry Banana,1.69,2,0,2
1014840,Heart and Axe,2.89,1,1,2
1014880,By Moonlight,0.00,62,4,66
1014890,Warforged,11.39,3,2,5
1014900,Hex Defense,5.79,9,1,10
1014930,Save the village chief,15.49,0,3,3
1014990,Aivolution,2.09,4,1,5
10150,Prototype™,14.99,3702,904,4606
1015130,WOUNDED,5.19,47,14,61
1015240,The Expedition,0.79,2,5,7
1015250,Caramel Port,0.79,4,1,5
1015350,Your Home,0.79,15,4,19
1015430,The Dead Tree of Ranchiuna,5.79,17,3,20
1015470,Need for Spirit: Off-Road Edition,1.69,1,3,4
1015480,DrumBeats VR,7.19,28,14,42
1015530,Bonds of the Skies,11.69,2,1,3
1015540,Sephirothic Stories,13.49,2,0,2
1015580,Jungle Z,10.29,2,3,5
1015660,Hentai Shooter 2: World Tour,0.79,25,4,29
1015700,Land Of The Void,5.19,35,11,46
1015710,Holy Road,15.49,85,32,117
1015820,Deadly Kingdom,27.79,2,0,2
1016010,W4RR-i/o-RS: Descent,1.69,1,2,3
1016020,Gladiators: Ludus Manager,3.99,8,3,11
1016100,3rd Invasion - Zombies vs. Steel,7.19,1,1,2
1016110,Self-Reliance 自我性赖,0.00,354,45,399
1016250,100$,0.79,26,3,29
1016260,Magic Combat VR,0.00,5,0,5
1016330,Bot War,5.19,2,0,2
1016350,Land of Dread,0.79,2,0,2
1016420,Tenebrous Dungeon,4.79,5,1,6
1016610,Four-color Fantasy,3.99,1,6,7
1016630,Drag Star!,3.99,8,0,8
1016690,DUST-UP,6.99,3,1,4
1016720,Save Koch,9.29,46,11,57
1016730,Deck of Ashes,11.39,203,34,237
1016740,God Monster,3.02,1,4,5
1016850,The Enthralling Realms: An Alchemist's Tale,3.99,3,0,3
1016890,Arch Drift,7.19,1,0,1
1016970,Ellen and the Degenerates RPG,0.00,11,7,18
1017080,RWBY Deckbuilding Game,0.00,54,23,77
1017100,Territory Idle,0.00,68,19,87
1017130,Ikao The Lost Souls,1.90,9,4,13
1017240,DEEP HOLE,2.09,4,0,4
1017270,TRIDENT BARRAGE,2.09,1,0,1
1017330,Experience,13.49,2,2,4
1017350,aMAZE St.Patrick,0.79,5,6,11
1017480,WarGround,0.00,9,7,16
1017490,Mortadelo y Filemón: La banda de Corvino,9.29,1,0,1
1017560,Falling Bullets,0.79,11,4,15
1017580,The Explorer of Night,1.69,9,2,11
1017590,Slime Adventure,0.79,14,0,14
1017600,Sophica - Temples Of Mystery,2.09,5,3,8
1017610,Butterfly,1.69,9,1,10
1017630,Robot King Part 2: Boss Battles,1.69,3,0,3
1017670,New World Horizon,3.99,5,0,5
1017780,Hammer & Anvil VR,3.99,14,8,22
1017800,AirShock,2.09,1,1,2
1017860,Hentai Time,0.79,27,6,33
1017940,King of Texas,1.69,9,10,19
1018000,Anniversary Collection Arcade Classics,15.99,20,10,30
1018060,The Mercenary Rise,5.79,34,19,53
1018090,2100,2.89,2,2,4
10180,Call of Duty®: Modern Warfare® 2,19.99,30006,2826,32832
1018130,Castle Break,3.99,4,0,4
