genre,avg_negative_ratio,game_count
Action;Free to Play;RPG,35.60,4
Action;Free to Play;RPG;Strategy,24.56,1
Action;Free to Play;Racing;Sports,31.43,1
Action;Free to Play;Simulation,25.29,4
Action;Free to Play;Simulation;Sports,13.33,1
Action;Free to Play;Simulation;Sports;Early Access,32.35,1
Action;Free to Play;Simulation;Strategy,33.65,2
Action;Free to Play;Sports,25.94,4
Action;Free to Play;Sports;Early Access,14.29,1
Action;Free to Play;Strategy,31.94,8
Action;Free to Play;Strategy;Early Access,34.48,3
Action;Indie,24.28,1852
Action;Indie;Casual,26.45,4
Action;Indie;Early Access,21.11,280
Action;Indie;Massively Multiplayer,34.46,14
Action;Indie;Massively Multiplayer;Early Access,36.49,14
Action;Indie;Massively Multiplayer;RPG,50.30,2
Action;Indie;Massively Multiplayer;RPG;Early Access,43.12,6
Action;Indie;Massively Multiplayer;RPG;Simulation,57.69,1
Action;Indie;Massively Multiplayer;RPG;Simulation;Early Access,28.57,1
Action;Indie;Massively Multiplayer;RPG;Strategy;Early Access,20.29,1
Action;Indie;Massively Multiplayer;Racing,46.00,1
Action;Indie;Massively Multiplayer;Racing;Simulation;Sports,33.97,1
Action;Indie;Massively Multiplayer;Simulation,35.71,1
Action;Indie;Massively Multiplayer;Simulation;Early Access,31.60,4
Action;Indie;Massively Multiplayer;Simulation;Strategy,35.01,1
Action;Indie;Massively Multiplayer;Simulation;Strategy;Early Access,23.83,2
Action;Indie;Massively Multiplayer;Strategy,37.51,4
Action;Indie;Massively Multiplayer;Strategy;Early Access,29.51,2
Action;Indie;RPG,25.50,199
Action;Indie;RPG;Early Access,22.39,47
Action;Indie;RPG;Simulation,57.03,4
Action;Indie;RPG;Simulation;Early Access,29.51,8
Action;Indie;RPG;Simulation;Sports;Early Access,53.54,1
Action;Indie;RPG;Simulation;Strategy,31.83,7
Action;Indie;RPG;Sports,15.59,2
Action;Indie;RPG;Strategy,25.12,38
Action;Indie;RPG;Strategy;Early Access,25.81,8
Action;Indie;Racing,24.69,71
Action;Indie;Racing;Early Access,27.05,18
Action;Indie;Racing;RPG;Simulation,6.67,1
Action;Indie;Racing;RPG;Simulation;Strategy,33.33,1
Action;Indie;Racing;Simulation,27.28,10
Action;Indie;Racing;Simulation;Early Access,11.87,2
