genre,avg_negative_ratio,game_count
Violent;Gore;Action;Casual;Strategy,31.82,1
Violent;Gore;Action;Free to Play,37.25,1
Violent;Gore;Action;Free to Play;Indie,18.40,3
Violent;Gore;Action;Free to Play;Indie;Early Access,57.14,1
Violent;Gore;Action;Free to Play;Indie;Massively Multiplayer,44.30,2
Violent;Gore;Action;Indie,30.83,57
Violent;Gore;Action;Indie;Early Access,23.18,11
Violent;Gore;Action;Indie;Massively Multiplayer,100.00,1
Violent;Gore;Action;Indie;Massively Multiplayer;Early Access,75.00,1
Violent;Gore;Action;Indie;Massively Multiplayer;RPG;Simulation;Strategy,47.66,1
Violent;Gore;Action;Indie;RPG,29.06,2
Violent;Gore;Action;Indie;RPG;Early Access,29.69,2
Violent;Gore;Action;Indie;RPG;Simulation;Early Access,61.22,1
Violent;Gore;Action;Indie;RPG;Simulation;Strategy,20.83,1
Violent;Gore;Action;Indie;RPG;Strategy,12.80,2
Violent;Gore;Action;Indie;RPG;Strategy;Early Access,35.19,1
Violent;Gore;Action;Indie;Racing,16.10,3
Violent;Gore;Action;Indie;Simulation,51.25,6
Violent;Gore;Action;Indie;Simulation;Sports;Early Access,46.15,1
Violent;Gore;Action;Indie;Simulation;Sports;Strategy,16.58,1
Violent;Gore;Action;Indie;Sports;Strategy,35.48,1
Violent;Gore;Action;Indie;Strategy,25.41,3
Violent;Gore;Action;Massively Multiplayer;RPG;Simulation,78.57,1
Violent;Gore;Action;Simulation;Sports,15.79,1
Violent;Gore;Action;Simulation;Strategy,55.10,1
Violent;Gore;Action;Strategy;Early Access,31.43,1
Violent;Gore;Adventure,41.81,6
Violent;Gore;Adventure;Casual;Free to Play;Indie,19.41,1
Violent;Gore;Adventure;Casual;Indie,44.02,4
Violent;Gore;Adventure;Casual;Indie;RPG,0.00,1
Violent;Gore;Adventure;Casual;Indie;Strategy,23.31,1
Violent;Gore;Adventure;Casual;RPG,0.00,1
Violent;Gore;Adventure;Free to Play;Indie,9.29,2
Violent;Gore;Adventure;Indie,31.50,18
Violent;Gore;Adventure;Indie;Early Access,63.64,2
Violent;Gore;Adventure;Indie;RPG,12.04,6
Violent;Gore;Adventure;Indie;RPG;Early Access,40.00,1
Violent;Gore;Adventure;Indie;Simulation,57.58,3
Violent;Gore;Adventure;Indie;Simulation;Strategy,58.33,1
Violent;Gore;Adventure;Indie;Strategy,100.00,1
Violent;Gore;Adventure;Indie;Strategy;Early Access,6.25,1
Violent;Gore;Adventure;RPG,21.41,2
Violent;Gore;Casual,50.00,1
Violent;Gore;Casual;Free to Play;Indie;Strategy,6.05,1
Violent;Gore;Casual;Indie,31.83,2
Violent;Gore;Casual;Indie;RPG;Simulation;Early Access,75.00,1
Violent;Gore;Casual;Indie;Simulation;Sports,50.00,1
Violent;Gore;Casual;Indie;Strategy,47.06,1
Violent;Gore;Indie,31.82,16
Violent;Gore;Indie;Early Access,49.21,2
Violent;Gore;Indie;Massively Multiplayer;Early Access,36.13,1
Violent;Gore;Indie;RPG,33.20,1
Violent;Gore;Indie;Sports,33.33,1
Violent;Gore;Indie;Strategy,21.05,1
Violent;Gore;RPG;Early Access,33.33,1
Violent;Gore;Simulation;Early Access,60.87,1
Violent;Gore;Strategy,0.00,1
Violent;Indie,48.50,8
Violent;Indie;Early Access,27.78,2
Violent;Indie;RPG,12.20,1
Violent;Indie;Strategy;Early Access,25.00,1
Violent;RPG,17.39,4
Violent;RPG;Strategy,18.61,2
Violent;Simulation,16.67,1
Violent;Simulation;Early Access,50.00,1
Violent;Simulation;Sports,40.38,1
Violent;Sports,35.20,1
Violent;Strategy,62.86,1
Web Publishing,9.44,1
